Feature	BCL2	MYD88	NEC	NOTCH2	SOCS1/SGK1	TET2/SGK1	MeanDecreaseAccuracy	MeanDecreaseGini
FBXO11	7.273600221747056e-6	3.773584905660377e-5	6.725150494904918e-5	1.1631490202918774e-4	5.965504978662872e-5	2.4186507936507938e-4	7.259419881230091e-5	0.9149745802316143
FOXO1	2.6989175923453215e-4	5.460796283682858e-4	0.001607653107797974	0.0011018511684094837	5.012266632361974e-4	-0.001072254829487657	5.959641090989792e-4	2.8488590886947467
GNA13	9.616112193088882e-4	0.004281646799154075	0.006719048470159912	0.008550940356650345	0.0036196510610718782	7.927237495507373e-4	0.004343804393864013	5.928336096376804
HIST1H1B_S	9.153911661818667e-4	1.1956515318619625e-5	0.0019391074753649423	0.001926568507101718	0.004528273767220269	-3.329986085829685e-4	0.0014471123084081156	4.822522986332738
HIST1H1C_S	7.559839706025425e-4	-0.0013495190890875303	0.0024393651234491122	5.592604383510276e-4	0.008689918874459761	0.0035800594003829204	0.0020413728917015998	6.011460641522796
HIST1H1D_S	-7.911625419647879e-4	1.4453157569958343e-4	0.02544374074207715	-2.2515449407249993e-4	-5.540785450838779e-4	0.0023818996685432167	0.00568785082364453	6.089741112007385
HIST1H1E_S	0.002316864926499477	9.992214422992081e-4	0.0049533177602942464	7.984674371511306e-4	0.017287532629687335	6.189293551626747e-4	0.004110196453474145	7.835774210820653
HIST1H2AC_S	3.5155772124212403e-4	-2.861571950018892e-4	0.010777493246176167	0.0010562573084322215	0.0021400251983373056	-2.769443598966438e-4	0.0027994980738591945	4.196990944607447
HIST1H2AG_S	2.293502047766216e-4	-1.9689133795583214e-4	-2.767982765306739e-5	7.207552593060665e-5	2.9035397796554186e-4	-8.072169631767157e-5	4.76230495070252e-5	2.0333930761893217
HIST1H2AM_S	5.977729887622078e-4	5.745145679708928e-5	0.012153113396334412	4.7300175561498797e-4	6.653385946027e-4	-1.744322642403663e-5	0.0029590743257611636	4.675246825756682
HIST1H2BC_S	0.004026028610389164	2.4940547791086704e-4	0.02267678266891082	0.001811961322586926	0.0026835449594181837	0.0014076386670046686	0.006662284381669922	6.54744991054699
HIST1H2BD_S	4.6667863719513546e-4	-1.7659595510155263e-4	0.002404121621357654	-1.1752906510970912e-4	-7.609408565290919e-4	-2.524190480072833e-4	4.6490722712753176e-4	1.614893313000726
HIST1H2BG_S	0.0014095510178119821	-5.6444699894960994e-5	9.302394775588382e-5	7.556973823692651e-5	3.4019889783350123e-4	2.0134680134680134e-4	3.6370430950748633e-4	1.679280979640655
HIST1H3B_S	5.555131179589294e-5	3.05923982360996e-4	0.005940580249476455	0.0010821508681335872	-1.468739188614071e-4	0.0037314956957963984	0.001967937629324713	3.1708678928433254
HIST1H3G_S	4.792129646344032e-4	-4.625961940825023e-4	6.082098390897008e-4	9.189603881578965e-4	6.47073379452016e-4	-2.2511546760772765e-4	3.520652919022931e-4	1.8642506975026967
ID3	2.2777025436720178e-4	7.5867660013594975e-6	-5.8105115815882e-4	2.025755687897385e-4	3.800275869024754e-4	0.0029438005345122586	3.3392116599647133e-4	2.076537974748982
IKZF1	3.4999122181945864e-5	3.9058600379355095e-5	3.615736668364968e-4	-2.247261534382125e-4	8.695652173913043e-5	5.128205128205128e-5	7.878796026408109e-5	0.6074825421333265
IKZF3	0.00021953768377169336	5.601256855817285e-4	-3.316119997039725e-4	4.893881975080603e-4	1.2294262162683217e-4	1.947947947947948e-4	1.9241551322592916e-4	1.4037193752629296
IRF1	5.734531273324377e-5	6.957047791893526e-5	3.1746031746031745e-5	8.181818181818182e-5	1.0822510822510823e-4	-4.065750971150245e-4	1.2863723129143793e-5	0.5797906164468983
IRF4	9.180001099007751e-4	-7.395160778919137e-4	0.0025284188704625997	6.147502841285813e-5	-1.4019132518918297e-4	-7.045392291316612e-4	5.137011122088825e-4	2.0407610147933437
IRF8	-2.1336338993297656e-4	4.849185005231309e-4	0.003627103713238322	-0.0010213214567288253	0.0011453288861021918	-2.2796180963101283e-4	8.1244441811581e-4	3.981357267342198
ITPKB	-7.033369946126772e-4	-2.510279048121218e-4	5.635624562823012e-4	7.293142631564514e-4	0.003268709259486643	-6.440590599080435e-4	3.693426260729222e-4	2.650916403491395
KLF2	9.290885640034041e-4	-3.889116888147453e-6	-5.487491210557347e-4	-3.1331927370589957e-5	7.421135945163404e-5	-1.3984162260024329e-5	5.87546224402113e-5	1.5583094907596657
